Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.09.25,-8.500517,51.894671,0,A,2,LTE,-116,-13,6,6,-94,2605,48,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.26,-8.500517,51.894671,0,A,2,LTE,-116,-13,6,6,-94,2684,49,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.27,-8.500517,51.894671,0,A,2,LTE,-116,-13,7,6,-94,1185,26,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.28,-8.500517,51.894671,0,A,2,LTE,-116,-13,7,6,-94,1644,54,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.29,-8.500517,51.894671,0,A,2,LTE,-117,-12,7,6,-94,1084,22,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.30,-8.500517,51.894671,0,A,2,LTE,-117,-12,7,6,-94,3019,56,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.31,-8.500517,51.894671,0,A,2,LTE,-116,-12,6,6,-94,1822,34,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.33,-8.500517,51.894671,0,A,2,LTE,-116,-12,6,6,-94,2438,57,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.34,-8.500517,51.894671,0,A,2,LTE,-116,-12,5,6,-94,1487,34,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.35,-8.500517,51.894671,0,A,2,LTE,-116,-12,5,6,-94,1409,27,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.36,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,1353,25,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.37,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,782,19,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.38,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,1151,36,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.40,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,917,20,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.41,-8.500517,51.894671,0,A,2,LTE,-116,-12,4,6,-94,1990,37,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.42,-8.500517,51.894671,0,A,2,LTE,-116,-12,4,6,-94,1666,52,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.43,-8.500517,51.894671,0,A,2,LTE,-117,-12,5,6,-94,827,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.44,-8.500517,51.894671,0,A,2,LTE,-117,-12,5,6,-94,1509,48,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.45,-8.500517,51.894671,0,A,2,LTE,-116,-13,4,6,-94,1800,37,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.46,-8.500517,51.894671,0,A,2,LTE,-116,-13,4,6,-94,782,14,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.47,-8.500517,51.894671,0,A,2,LTE,-118,-13,2,6,-94,44,1,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.48,-8.500517,51.894671,0,A,2,LTE,-118,-13,2,6,-94,1465,41,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.49,-8.500517,51.894671,0,A,2,LTE,-118,-13,2,6,-94,402,16,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.51,-8.500517,51.894671,0,A,2,LTE,-118,-13,2,6,-94,648,13,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.52,-8.500517,51.894671,0,A,2,LTE,-118,-13,3,6,-94,1129,21,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.53,-8.500517,51.894671,0,A,2,LTE,-118,-13,3,6,-94,570,11,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.54,-8.500517,51.894671,0,A,2,LTE,-119,-14,3,6,-94,883,25,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.55,-8.500517,51.894671,0,A,2,LTE,-119,-14,3,6,-94,682,16,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.56,-8.500517,51.894671,0,A,2,LTE,-118,-14,3,6,-94,1308,24,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.57,-8.500517,51.894671,0,A,2,LTE,-118,-14,3,6,-94,749,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.58,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,380,16,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.59,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,1040,26,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.01,-8.500517,51.894671,0,A,2,LTE,-117,-13,4,6,-94,503,13,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.02,-8.500517,51.894671,0,A,2,LTE,-117,-13,4,6,-94,995,19,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.03,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,782,18,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.04,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,806,16,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.05,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,1240,27,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.07,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,495,26,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.08,-8.500517,51.894671,0,A,2,LTE,-116,-14,6,6,-94,919,18,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.09,-8.500517,51.894671,0,A,2,LTE,-116,-14,6,6,-94,760,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.10,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,6,-94,905,20,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.11,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,6,-94,883,19,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.12,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,794,36,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.13,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,849,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.14,-8.500517,51.894671,0,A,2,LTE,-118,-14,4,6,-94,715,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.15,-8.500517,51.894671,0,A,2,LTE,-118,-14,4,6,-94,838,19,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.17,-8.500517,51.894671,0,A,2,LTE,-115,-14,6,6,-94,894,17,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.10.18,-8.500517,51.894671,0,A,2,LTE,-115,-14,6,6,-94,1442,47,D,-,-,-8.491719,51.893905,609.7
